day,date,park,title,cc,rating,underwriter,park_address,location
Sun,2017-08-20T00:00:00.000,Jonquil Playlot Park,Moana,Y,PG,Underwritten by the Wrightwood Neighbors Association,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL 
(41.929029, -87.653839)"
Mon,2017-08-21T00:00:00.000,Belmont Harbor,Top Hat,,NR,,3200 N. Lake Shore Dr.,"3200 N. Lake Shore Dr.
Chicago, IL 
(41.940216, -87.63955)"
Mon,2017-08-21T00:00:00.000,Clarendon Park Community Center,Queen of Katwe,Y,PG,,4501 N. Clarendon Ave.,"4501 N. Clarendon Ave.
Chicago, IL 
(41.963681, -87.649962)"
Mon,2017-08-21T00:00:00.000,South Shore Cultural Center,Rogue One,Y,PG-13,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL 
(41.766242, -87.562783)"
Tue,2017-08-22T00:00:00.000,A. Montgomery Ward Park,The Secret Life of Pets,Y,PG,Underwritten by the River North Residents Association,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL 
(41.892878, -87.640952)"
Tue,2017-08-22T00:00:00.000,Chicago History Museum,City Slickers,Y,PG-13,Underwritten by the Chicago History Museum,1601 N. Clark St.,"1601 N. Clark St.
Chicago, IL 
(41.911789, -87.631947)"
Tue,2017-08-22T00:00:00.000,Haas Park,Sing,Y,PG,Produced by the Haas Park Advisory Council,2402 N. Washtenaw Ave.,"2402 N. Washtenaw Ave.
Chicago, IL 
(41.924954, -87.694974)"
Tue,2017-08-22T00:00:00.000,Lawler Park,Trolls,Y,PG,,5210 W. 64th St.,"5210 W. 64th St.
Chicago, IL 
(41.775988, -87.752314)"
Wed,2017-08-23T00:00:00.000,Cotton Tail Park,Wall-E,Y,G,Underwritten by the Museum of Science and Industry,44 W. 15th St.,"44 W. 15th St.
Chicago, IL 
(41.861916, -87.629097)"
Wed,2017-08-23T00:00:00.000,Graver Park,The Secret Life of Pets,Y,PG,,1518 W. 102nd Pl.,"1518 W. 102nd Pl.
Chicago, IL 
(41.707271, -87.660397)"
Wed,2017-08-23T00:00:00.000,McGuane Park,Rogue One,Y,PG-13,,2901 S. Poplar Ave.,"2901 S. Poplar Ave.
Chicago, IL 
(41.840891, -87.649283)"
Thu,2017-08-24T00:00:00.000,Norwood Park,Field of Dreams,Y,PG,,5801 N. Natoma Ave.,"5801 N. Natoma Ave.
Chicago, IL 
(41.98646, -87.794131)"
Thu,2017-08-24T00:00:00.000,Park No. 574,Ghostbusters (2016),Y,PG-13,,2540 W. Jackson Blvd.,"2540 W. Jackson Blvd.
Chicago, IL 
(41.877529, -87.690647)"
Thu,2017-08-24T00:00:00.000,Wicker Park,Gone in 60 Seconds,Y,PG-13,Underwritten by the Wicker Park Bucktown Chamber and the Wicker Park Advisory Council,1425 N. Damen Avenue,"1425 N. Damen Avenue
Chicago, IL 
(41.90763, -87.677389)"
Fri,2017-08-25T00:00:00.000,Athletic Field Park,The Little Mermaid,Y,G,Produced by the Athletic Field Park Advisory Council,3546 W. Addison St.,"3546 W. Addison St.
Chicago, IL 
(41.946538, -87.715942)"
Fri,2017-08-25T00:00:00.000,Clark (John) Park,Sing,Y,PG,Co-produced by 24th Ward Alderman Michael Scott Jr.,4615 W. Jackson Blvd.,"4615 W. Jackson Blvd.
Chicago, IL 
(41.876926, -87.740505)"
Fri,2017-08-25T00:00:00.000,Jensen Park,Trolls,Y,PG,,4650 N. Lawndale Ave.,"4650 N. Lawndale Ave.
Chicago, IL 
(41.9657, -87.720608)"
Fri,2017-08-25T00:00:00.000,Jonquil Playlot Park,Wall-E,Y,G,Underwritten by the Museum of Science and Industry,1001 W. Wrightwood Ave.,"1001 W. Wrightwood Ave.
Chicago, IL 
(41.929029, -87.653839)"
Fri,2017-08-25T00:00:00.000,Palmer Park,Ghostbusters (2016),Y,PG-13,,201 E. 111th St.,"201 E. 111th St.
Chicago, IL 
(41.692654, -87.617721)"
Sat,2017-08-26T00:00:00.000,Chicago Women's Park and Gardens,The LEGO Batman Movie,Y,PG,Underwritten by the Prairie District Neighborhood Alliance,1801 S. Indiana Ave.,"1801 S. Indiana Ave.
Chicago, IL 
(41.857935, -87.622279)"
Sat,2017-08-26T00:00:00.000,Oz Park,The Wizard of Oz,Y,G,,2021 N. Burling St.,"2021 N. Burling St.
Chicago, IL 
(41.919044, -87.647303)"
Sat,2017-08-26T00:00:00.000,Pulaski Park,X-Men: Apocalypse,Y,PG-13,,1419 W. Blackhawk St.,"1419 W. Blackhawk St.
Chicago, IL 
(41.907049, -87.663404)"
Sun,2017-08-27T00:00:00.000,Eckhart Park,The Sandlot,Y,PG,Underwritten by Friends of Eckhart Park,1330 W. Chicago Ave.,"1330 W. Chicago Ave.
Chicago, IL 
(41.896208, -87.660751)"
Mon,2017-08-28T00:00:00.000,A. Montgomery Ward Park,April and the Extraordinary World,Y,PG,Underwritten by the Consulate General of France in Chicago,630 N. Kingsbury St.,"630 N. Kingsbury St.
Chicago, IL 
(41.892878, -87.640952)"
Mon,2017-08-28T00:00:00.000,Grant Park: Grove 5,The Manchurian Candidate,Y,PG-13,,800 S. Columbus Dr.,"800 S. Columbus Dr.
Chicago, IL 
(41.872058, -87.620555)"
Mon,2017-08-28T00:00:00.000,South Shore Cultural Center,Queen of Katwe,Y,PG,,7059 S. South Shore Drive,"7059 S. South Shore Drive
Chicago, IL 
(41.766242, -87.562783)"
Tue,2017-08-29T00:00:00.000,Northerly Island Park,Chicago Onscreen Local Film Showcase,,NR,,1521 S. Linn White Dr.,"1521 S. Linn White Dr.
Chicago, IL 
(41.860664, -87.610261)"
Tue,2017-08-29T00:00:00.000,Shedd Park,Tyler Perry's Boo: A Madea Halloween,Y,PG-13,,3660 W. 23rd St.,"3660 W. 23rd St.
Chicago, IL 
(41.849847, -87.716566)"
Wed,2017-08-30T00:00:00.000,Indian Boundary Park and Cultural Center,Chicago Onscreen Local Film Showcase,,NR,,2500 W. Lunt Ave.,"2500 W. Lunt Ave.
Chicago, IL 
(42.008606, -87.692536)"
Wed,2017-08-30T00:00:00.000,Revere park,Chicago Onscreen Local Film Showcase,,NR,,2059 W. Irving Park Rd.,"2059 W. Irving Park Rd.
Chicago, IL 
(41.954103, -87.680473)"
Thu,2017-08-31T00:00:00.000,Chase Park,National Treasure,Y,PG,Produced by the Chase Park Advisory Council,4701 N. Ashland Ave.,"4701 N. Ashland Ave.
Chicago, IL 
(41.967097, -87.669326)"
Thu,2017-08-31T00:00:00.000,Ellis Park,Chicago Onscreen Local Film Showcase,,NR,,3520 S. Cottage Grove Ave.,"3520 S. Cottage Grove Ave.
Chicago, IL 
(41.830713, -87.610379)"
Thu,2017-08-31T00:00:00.000,Wicker Park,Chicago Onscreen Local Film Showcase,,NR,,1425 N. Damen Ave.,"1425 N. Damen Ave.
Chicago, IL 
(41.90763, -87.677389)"
Fri,2017-09-01T00:00:00.000,Calumet Park,Chicago Onscreen Local Film Showcase,,NR,,9801 S. Ave G,"9801 S. Ave G
Chicago, IL 
(41.717823, -87.531589)"
Fri,2017-09-01T00:00:00.000,Ping Tom Park,Chicago Onscreen Local Film Showcase,,NR,,1700 S. Wentworth Ave.,"1700 S. Wentworth Ave.
Chicago, IL 
(41.858695, -87.6319)"
Sat,2017-09-02T00:00:00.000,Chase Park,Chicago Onscreen Local Film Showcase,,NR,,4701 N. Ashland Ave.,"4701 N. Ashland Ave.
Chicago, IL 
(41.967097, -87.669326)"
Mon,2017-09-04T00:00:00.000,Osterman Beach,Top Gun,Y,PG,,5800 N. Lake Shore Dr.,"5800 N. Lake Shore Dr.
Chicago, IL "
Thu,2017-09-07T00:00:00.000,Hamlin Park,Moana,Y,PG,,3035 N. Hoyne Ave.,"3035 N. Hoyne Ave.
Chicago, IL 
(41.937197, -87.680691)"
